name, name_abr, price_value, market_cap, fully_distributed_market_cap, volume_24h, volume_slash_market_cap, circulating_supply 
"Signata","SATA","$0.0791","$1,568,893","$7,909,929","$272","0.0001734","19,834,477.59 SATA"
"Pivot Token","PVT","$0.0003051","$1,566,605","$9,584,115","$1,230,976","0.7858","5.14B PVT"
"Furucombo","COMBO","$0.3488","$1,584,413","$34,882,161","$226,070","0.1427","4,542,188.00 COMBO"
"AudioCoin","ADC","$0.001609","$1,578,239","$1,578,239","- -","--","980,733,270.76 ADC"
"Beaxy","BXY","$0.005533","$1,581,412","$2,766,684","$3,207","0.002028","285,795,489.99 BXY"
"PirateCash","PIRATE","$0.04419","$1,138,395","$4,640,349","$1,957","0.001719","25,759,163.00 PIRATE"
"reflect.finance","RFI","$0.1208","$1,141,081","$1,207,656","$16,170","0.01417","9,448,725.64 RFI"
"Nuggets","NUG","$0.0006627","$1,143,065","$6,447,826","- -","--","1.72B NUG"
"Phoenixcoin","PXC","$0.01368","$1,145,788","$1,340,396","$110","0.00009558","83,771,687.13 PXC"
"HollyGold","HGOLD","$0.3228","$1,145,381","$32,283,293","$150,292","0.1312","3,547,905.03 HGOLD"
"NuShares","NSR","$0.0001943","$1,138,399","$1,197,564","- -","--","5.86B NSR"
"Decentrahub Coin","DCNTR","$0.6484","$1,148,355","$32,419,960","$26","0.00002266","1,771,062.45 DCNTR"
"Sakura Bloom","SKB","$0.0004468","$1,153,984","$2,680,603","$98,509","0.08536","2.58B SKB"
"DeHive","DHV","$1.38","$1,166,952","$13,812,395","$2,605,537","2.23","844,858.69 DHV"
"Phantasma Energy","KCAL","$0.02499","$1,162,616","$1,162,616","$4,149","0.003569","46,527,301.65 KCAL"
"Polkalokr","LKR","$0.0749","$1,168,403","$7,489,506","$1,729,380","1.48","15,600,530.24 LKR"
"TotemFi","TOTM","$0.2211","$1,175,229","$2,211,148","$2,432,882","2.07","5,315,015.00 TOTM"
"ByteNext","BNU","$0.1581","$1,185,742","$31,619,776","$13,695","0.01155","7,500,000.00 BNU"
"BonusCloud","BXC","$0.0003817","$1,187,525","$2,671,652","$12,610","0.01062","3.11B BXC"
"Humaniq","HMQ","$0.006349","$1,179,682","$5,846,943","$53,490","0.04534","185,811,695.04 HMQ"
"Tapmydata","TAP","$0.0926","$1,209,644","$9,259,976","$1,921,434","1.59","13,063,146.63 TAP"
"Fountain","FTN","$0.009285","$823,302","$20,508,763","$8,344","0.01013","88,674,657.89 FTN"
"Ethereum Stake","ETHYS","$4.22","$843,507","$2,108,768","$590","0.0006994","200,000.00 ETHYS"
"Phoneum","PHT","$0.0002053","$846,128","$1,026,608","$8,733","0.01032","4.12B PHT"
"Maincoin","MNC","$0.002283","$853,930","$853,930","$3,070","0.003595","374,000,000.00 MNC"
"IXT","IXT","$0.02389","$854,652","$1,571,264","$436","0.0005106","35,778,843.83 IXT"
"SOAR.FI","SOAR","$0.1108","$854,797","$1,108,371","$968","0.001133","7,712,189.18 SOAR"
"Tendies","TEND","$0.1139","$854,318","$988,861","$73,369","0.08588","7,500,725.76 TEND"
"SONM (BEP-20)","SNM","$0.1641","$858,252","$7,287,514","$764,407","0.8907","5,228,999.00 SNM"
"Rocket Vault","RVF","$0.05233","$861,156","$5,233,336","$2,726,777","3.17","16,455,198.23 RVF"
"Equal","EQL","$0.002128","$863,759","$1,437,160","$63,120","0.07308","405,842,550.01 EQL"
"DPRating","RATING","$0.0004044","$865,494","$3,785,961","$109,332","0.1263","2.14B RATING"
"Nuco.cloud","NCDT","$0.1335","$869,798","$6,677,198","$1,310,735","1.51","6,513,195.58 NCDT"
"Incent","INCNT","$0.01892","$870,742","$870,742","$22","0.000025","46,015,890.97 INCNT"
"Rage Fan","RAGE","$0.01659","$875,494","$6,636,675","$311,443","0.3557","52,767,040.80 RAGE"
"Libertas Token","LIBERTAS","$0.009363","$874,351","$936,337","$3","0.00000351","93,379,956.31 LIBERTAS"
"ZumCoin","ZUM","$0.0008877","$877,782","$8,877,065","$19","0.00002116","988,819,491.22 ZUM"
"Spaceswap MILK2","MILK2","$0.08067","$595,095","$5,259,661","$27,380","0.04601","7,376,937.36 MILK2"
"Bata","BTA","$0.1179","$595,531","$1,178,662","- -","--","5,052,601.13 BTA"
"Smartshare","SSP","$0.0001293","$600,071","$1,293,278","$24,266","0.04044","4.64B SSP"
"Blockpass","PASS","$0.003588","$600,016","$3,588,100","$199","0.0003318","167,223,761.64 PASS"
"BitDegree","BDG","$0.001568","$603,132","$807,395","$336","0.0005571","384,560,931.03 BDG"
"MoonRadar","MRF","$0.09818","$606,550","$1,963,548","$10,136","0.01671","6,178,105.28 MRF"
"Decentralized Vulnerability Platform","DVP","$0.001233","$615,090","$6,166,862","$99,429","0.1616","498,706,062.49 DVP"
"Novara Calcio Fan Token","NOV","$3.00","$603,884","$3,002,649","- -","--","201,117.00 NOV"
"Space Cow Boy","SCB","$18.96","$618,913","$1,895,764","$120,236","0.1943","32,647.14 SCB"
"Earnbase","ENB","$5.09","$618,554","$5,041,393","$1,694","0.002739","121,468.21 ENB"
"EventChain","EVC","$0.01967","$614,637","$1,652,118","$20,309","0.03304","31,250,497.00 EVC"
"DoYourTip","DYT","$0.4267","$618,876","$853,345","$28,954","0.04679","1,450,470.00 DYT"
"SophiaTX","SPHTX","$0.001879","$621,877","$669,794","- -","--","330,877,003.03 SPHTX"
"GamyFi Platform","GFX","$0.8582","$622,178","$8,581,766","$238,223","0.3829","725,000.00 GFX"
"Kobocoin","KOBO","$0.02534","$626,005","$626,005","- -","--","24,700,247.68 KOBO"
"Streamity","STM","$0.01744","$627,553","$1,325,286","$1","0.00000164","35,987,749.31 STM"
"Zennies","ZENI","$0.0004028","$403,103","$403,103","- -","--","1.00B ZENI"
"Noir","NOR","$0.01971","$405,218","$405,218","$696","0.001718","20,555,627.93 NOR"
"Alpha Token","A","$0.01166","$405,121","$3,245,859","- -","--","34,731,758.90 A"
"Zeepin","ZPT","$0.0008138","$406,892","$813,783","$83,571","0.2054","500,000,000.00 ZPT"
"ATN","ATN","$0.00482","$406,335","$1,012,192","- -","--","84,302,524.16 ATN"
"HashBX","HBX","$0.0006501","$409,126","$650,149","$0","0.00000002","629,280,962.76 HBX"
"İstanbul Başakşehir Fan Token","IBFK","$2.03","$410,542","$6,093,713","- -","--","202,114.00 IBFK"
"Arbidex","ABX","$0.02007","$408,431","$501,644","$147,809","0.3619","20,354,622.00 ABX"
"MetaMorph","METM","$0.001207","$411,962","$438,031","- -","--","341,349,997.00 METM"
"Delphy","DPY","$0.006617","$411,579","$661,704","$64,610","0.157","62,199,847.56 DPY"
"OWNDATA","OWN","$0.00004055","$413,621","$4,460,282","$8","0.00001903","10.20B OWN"
"StrongHands","SHND","$0.00002414","$416,152","$699,918","$128","0.0003086","17.24B SHND"
"Startcoin","START","$0.009253","$417,106","$654,920","- -","--","45,079,785.00 START"
"Bitcloud","BTDX","$0.01126","$418,587","$493,365","$11","0.00002694","37,161,299.01 BTDX"
"Maxcoin","MAX","$0.006839","$420,221","$683,888","$482","0.001148","61,445,805.00 MAX"
"PTON","PTON","$0.00002796","$420,883","$648,768","$180","0.0004265","15.05B PTON"
"Tornado","TCORE","$70.63","$423,761","$494,387","$403,784","0.9529","6,000.00 TCORE"
"Woodcoin","LOG","$0.05321","$427,539","$427,539","$46,873","0.1096","8,035,193.05 LOG"
"Innovative Bioresearch Coin","INNBC","$0.0000009463","$275,350","$275,350","$570","0.002072","290.99B INNBC"
"MIB Coin","MIB","$0.0019","$275,695","$1,140,284","$10","0.00003523","145,066,618.45 MIB"
"Swing","SWING","$0.0523","$278,712","$278,712","$0","--","5,329,381.86 SWING"
"Zetacoin","ZET","$0.001609","$280,731","$280,731","$0","--","174,449,234.75 ZET"
"BidiPass","BDP","$0.0007275","$281,283","$1,091,284","$6,334","0.02252","386,631,336.79 BDP"
"Sora Validator Token","VAL","$0.821","$283,589","$283,589","$276,186","0.9739","345,412.89 VAL"
"Stobox Token","STBU","$0.04192","$285,137","$4,191,556","$139,540","0.4894","6,802,645.48 STBU"
"BoutsPro","BOUTS","$0.003716","$284,706","$7,432,108","- -","--","76,615,188.18 BOUTS"
"Modern Investment Coin","MODIC","$0.04225","$284,998","$2,957,446","$188,394","0.661","6,745,628.16 MODIC"
"Cryptonite","XCN","$0.0004028","$285,369","$285,369","- -","--","708,506,519.71 XCN"
"fyeth.finance","YETH","$0.5189","$286,646","$4,669,774","$1,114","0.003886","552,449.95 YETH"
"Zilla","ZLA","$0.004775","$286,509","$286,509","$7,729","0.02698","60,000,000.00 ZLA"
"Megacoin","MEC","$0.007242","$286,791","$304,147","$4","0.00001552","39,603,288.12 MEC"
"Internet of People","IOP","$0.02132","$287,015","$447,745","- -","--","13,461,468.75 IOP"
"Digitalcoin","DGC","$0.007643","$287,700","$368,155","$0","0.00000155","37,640,040.84 DGC"
"RMPL","RMPL","$0.4885","$287,707","$344,941","- -","--","588,943.15 RMPL"
"Bela","BELA","$0.003623","$178,331","$200,602","- -","--","49,215,307.35 BELA"
"SkinCoin","SKIN","$0.002039","$179,827","$791,599","$30,104","0.1674","88,183,483.00 SKIN"
"Fesschain","FESS","$0.001542","$182,074","$14,859,043","$914,329","5.02","118,093,196.15 FESS"
"ITO Utility Token","IUT","$0.001954","$180,093","$181,383","- -","--","92,163,649.00 IUT"
"MicroMoney","AMM","$0.01148","$181,186","$201,348","$140,400","0.7749","15,777,256.48 AMM"
"Felixo Coin","FLX","$0.001206","$180,897","$9,647,833","- -","--","150,000,000.00 FLX"
"megaBONK","MBONK","$0.06036","$181,083","$181,083","$8,254","0.04558","3,000,000.00 MBONK"
"Nasdacoin","NSD","$0.007147","$182,028","$600,330","$6,269","0.03444","25,469,871.40 NSD"
"W Green Pay","WGP","$0.01038","$182,982","$6,227,308","$9,584","0.05237","17,630,267.35 WGP"
"Ormeus Cash","OMC","$0.000971","$184,868","$291,772","$238","0.001287","190,398,627.27 OMC"
"TerraCredit","CREDIT","$0.001945","$184,954","$206,705","$29,217","0.158","95,083,315.00 CREDIT"
"PYRO Network","PYRO","$0.0002287","$184,921","$186,067","- -","--","808,494,197.15 PYRO"
"Bitgesell","BGL","$0.01538","$185,480","$323,043","$15,883","0.08563","12,057,473.71 BGL"
"TCASH","TCASH","$0.005276","$185,714","$464,284","$3,504","0.01887","35,200,000.00 TCASH"
"Yfscience","YFSI","$6.72","$186,561","$210,968","- -","--","27,780.60 YFSI"
"EXMR FDN","EXMR","$0.02957","$186,625","$2,217,941","$50,184","0.2689","6,310,751.46 EXMR"
"Bolivarcoin","BOLI","$0.006788","$107,767","$169,703","$3","0.00002563","15,875,876.25 BOLI"
"Beetle Coin","BEET","$0.0004081","$108,219","$108,219","$123,360","1.14","265,150,749.81 BEET"
"Unicly Genesis Collection","UUNICLY","$0.1085","$108,456","$108,456","- -","--","1,000,000.00 UUNICLY"
"Rupee","RUP","$0.002467","$108,950","$207,258","- -","--","44,156,650.00 RUP"
"Universal Currency","UNIT","$0.006792","$108,328","$1,426,340","- -","--","15,949,109.63 UNIT"
"BitBlocks Finance","BBKFI","$0.02989","$109,517","$122,237","$4,984","0.04551","3,663,422.98 BBKFI"
"Merebel","MERI","$0.01769","$109,581","$530,631","$70","0.0006356","6,195,344.25 MERI"
"PAYCENT","PYN","$0.001307","$111,472","$130,666","$110","0.0009851","85,310,628.41 PYN"
"Cashhand","CHND","$0.1131","$111,855","$4,791,388","$1,572","0.01405","989,175.33 CHND"
"FidexToken","FEX","$0.000003632","$112,390","$119,653","$0","0.00000353","30.95B FEX"
"BLOC.MONEY","BLOC","$0.00603","$112,443","$301,495","$458","0.004077","18,647,563.43 BLOC"
"Block-Logic","BLTG","$0.004976","$113,956","$174,402","$95","0.0008346","22,899,328.98 BLTG"
"Neural Protocol","NRP","$0.00001199","$113,910","$113,934","$32","0.000284","9.50B NRP"
"YENTEN","YTN","$0.002725","$114,335","$218,030","$38","0.0003291","41,952,065.21 YTN"
"wave edu coin","WEC","$0.000804","$114,551","$179,289","- -","--","142,479,440.74 WEC"
"NPCoin","NPC","$0.001585","$114,872","$237,806","- -","--","72,457,334.95 NPC"
"Aigang","AIX","$0.001941","$56,814","$56,814","- -","--","29,274,566.72 AIX"
"Thore Cash","TCH","$0.001033","$56,865","$114,762","$83,782","1.47","55,056,178.00 TCH"
"Impleum","IMPL","$0.005628","$57,220","$57,822","$14","0.0002446","10,167,185.33 IMPL"
"BERNcash","BERN","$0.000804","$57,271","$57,271","- -","--","71,234,300.81 BERN"
"Datarius Credit","DTRC","$0.000361","$57,677","$86,644","$1","0.00001742","159,756,075.51 DTRC"
"onLEXpa","onLEXpa","$0.0001","$58,599","$58,599","$12","0.0002048","585,999,042.97 onLEXpa"
"KUN","KUN","$29.50","$59,003","$29,501,741","$447","0.007575","2,000.00 KUN"
"XPA","XPA","$0.001035","$59,160","$10,346,737","- -","--","57,177,751.25 XPA"
"ProxyNode","PRX","$0.0003216","$59,710","$88,438","$0","0.00000001","185,669,475.96 PRX"
"Micromines","MICRO","$0.000003356","$60,402","$60,403","$50","0.0008198","18.00B MICRO"
"SF Capital","SFCP","$0.0006034","$60,343","$60,343","$52","0.0008543","99,999,500.00 SFCP"
"Bitradio","BRO","$0.006025","$61,563","$91,688","$4","0.00006489","10,218,014.69 BRO"
"BitcoiNote","BTCN","$0.004824","$61,992","$101,302","$37","0.0006023","12,850,868.00 BTCN"
"Coin2.1","C2","$0.0008056","$63,031","$107,359","- -","--","78,245,974.52 C2"
"PostCoin","POST","$0.00402","$63,789","$63,789","- -","--","15,868,232.70 POST"
"Arionum","ARO","$0.000402","$64,089","$219,247","$16","0.0002497","159,429,300.00 ARO"
"FUZE Token","FUZE","$42.37","$32,108","$32,108","$58,106","1.81","757.79 FUZE"
"Paypex","PAYX","$0.0002151","$32,268","$32,269","- -","--","149,998,018.29 PAYX"
"HashNet BitEco","HNB","$0.001099","$32,579","$1,099,130","$18","0.0005509","29,640,456.26 HNB"
"Uptrennd","1UP","$0.00008052","$32,325","$80,159","$66","0.002034","401,460,369.42 1UP"
"iBTC","IBTC","$0.0006527","$32,630","$32,634","- -","--","49,993,999.11 IBTC"
"The Currency Analytics","TCAT","$0.000419","$63,443","$167,591","- -","--","151,422,946.65 TCAT"
"Aeryus","AER","$0.00266","$32,702","$133,011","- -","--","12,292,955.05 AER"
"Cryptrust","CTRT","$0.000004616","$32,738","$41,387","$1,467","0.04481","7.09B CTRT"
"Webflix Token","WFX","$0.00000229","$32,785","$61,837","$109","0.003316","14.31B WFX"
"DNotes","NOTE","$0.0002431","$32,828","$37,689","- -","--","135,043,262.25 NOTE"
"SCRIV NETWORK","SCRIV","$0.001329","$32,874","$55,808","$34","0.001042","24,744,361.69 SCRIV"
"Spectrum","SPT","$0.00002737","$32,847","$32,848","$8,857","0.2696","1.20B SPT"
"Zealium","NZL","$0.001973","$33,010","$157,814","$5","0.0001581","16,733,423.74 NZL"
"Bitcoin Adult","BTAD","$0.0006432","$33,177","$34,439","$0","0.00000023","51,582,492.98 BTAD"
"Decentralized Asset Trading Platform","DATP","$0.000002824","$33,381","$42,360","$22","0.000673","11.82B DATP"
"Ultragate","ULG","$0.002818","$33,326","$33,326","$13","0.0003987","11,825,550.91 ULG"
"SpeedCash","SCS","$0.01731","$9,950","$10,171","- -","--","574,745.00 SCS"
"MDtoken","MDTK","$0.002416","$9,921","$5,072,592","$0","0.00000122","4,107,112.00 MDTK"
"Guider","GDR","$0.00004115","$10,255","$10,682","$17","0.001689","249,181,440.00 GDR"
"XMCT","XMCT","$0.0001","$10,532","$70,001","- -","--","105,319,790.00 XMCT"
"Kabberry Coin","KKC","$0.0005632","$11,180","$33,792","- -","--","19,850,906.14 KKC"
"Squorum","SQR","$0.0008052","$10,961","$11,242","- -","--","13,613,403.15 SQR"
"ECOSC","ECU","$0.013","$11,198","$13,001,537","$137,396","12.27","861,265.11 ECU"
"SONO","SONO","$0.005636","$11,751","$11,751","$2","0.0001396","2,084,823.15 SONO"
"Castle","CSTL","$0.0005234","$11,704","$26,168","$0","0.00002822","22,362,176.28 CSTL"
"Klimatas","KTS","$0.01648","$11,915","$25,964","$220","0.01844","722,903.98 KTS"
"Apollon","XAP","$0.0000804","$11,946","$20,100","- -","--","148,585,276.41 XAP"
"GoHelpFund","HELP","$0.001015","$12,335","$23,356","- -","--","12,147,167.05 HELP"
"Cabbage","CAB","$0.001208","$12,681","$12,681","- -","--","10,499,995.91 CAB"
"Gold Poker","GPKR","$0.002416","$12,708","$80,517","- -","--","5,260,825.53 GPKR"
"Hyper Speed Network","HSN","$0.0001033","$12,706","$97,111","- -","--","122,987,865.83 HSN"
"Gossip Coin","GOSS","$0.0004023","$13,066","$13,066","- -","--","32,479,221.40 GOSS"
"SongCoin","SONG","$0.000402","$13,091","$13,091","- -","--","32,565,300.00 SONG"
"High Voltage","HVCO","$0.008857","$13,234","$15,005","$0","--","1,494,170.72 HVCO"
"Bionic","BNC","$0.0000257","$13,335","$17,988","$1","0.00007523","518,931,720.72 BNC"
"Quebecoin","QBC","$0.002011","$13,483","$17,707","- -","--","6,703,137.92 QBC"
"EagleX","EGX","$0.0004026","$13,520","$28,986","- -","--","33,583,500.00 EGX"
"Comet","CMT","$0.0161","$14,056","$14,056","- -","--","872,830.00 CMT"
"Blakecoin","BLC","$0.0004865","$14,124","$3,405,804","- -","--","29,028,832.79 BLC"
"MktCoin","MLM","$0.00001154","$13,958","$115,396","$645","0.0462","1.21B MLM"
"Acoin","ACOIN","$0.01166","$14,224","$14,224","- -","--","1,220,084.96 ACOIN"
"Luna Coin","LUNA","$0.008454","$14,427","$14,427","$0","--","1,706,429.50 LUNA"
"Nekonium","NUKO","$0.001206","$14,473","$26,057","$8","0.0005627","12,000,829.33 NUKO"
"Metahero","HERO","$0.034","- -","$340,012,663","$14,188,846","--","--"
"ARCx (old)","ARC","$7,517.70","- -","- -","$14,551,046","--","--"
"Xeno Token","XNO","$0.07521","$11,953,503","- -","$14,703,492","--","158,934,070.00 XNO"
"Beacon ETH","BETH","$2,680.89","- -","- -","$15,545,525","--","--"
"Akita Inu","AKITA","$0.000001422","- -","$142,226,973","$16,068,676","--","--"
"ETH 2x Flexible Leverage Index","ETH2X-FLI","$108.90","- -","$36,422,955","$16,846,786","--","--"
"Swarm","BZZ","$6.31","$433,484,966","$788,640,320","$16,842,270","--","68,707,647.06 BZZ"
"ETHDOWN","ETHDOWN","$3.06","- -","- -","$17,409,994","--","--"
"Linkflow Finance","LF","$1.01","- -","$2,533,541,324","$19,683,532","--","--"
"BTCUP","BTCUP","$65.75","- -","- -","$20,837,487","--","--"
"CNNS","CNNS","$0.004771","- -","$47,710,585","$21,967,578","--","--"
"SubGame","SGB","$2.86","- -","$1,431,558,020","$21,995,706","--","--"
"Gold Coin Reserve","GCR","$1,809.26","- -","$5,427,771,157","$22,650,144","--","--"
"Baby Doge Coin","BabyDoge","$0.000000002274","$627,494,280","$954,881,854","$25,160,945","--","276,000,000.00B BabyDoge"
"eCash","XEC","$0.00005848","- -","$1,228,183,044","$25,251,504","--","--"
"Wrapped Matic","WMATIC","$1.07","- -","- -","$25,436,016","--","--"
"Global AEX Token","GAT","$0.0664","- -","$6,639,545,527","$25,626,600","--","--"
"MicroSHIB","MICROSHIB","$0.000000001954","- -","- -","$2,799,700","--","--"
"LINKDOWN","LINKDOWN","$0.09141","- -","- -","$2,868,111","--","--"
"Adappter Token","ADP","$0.08069","- -","$806,902,413","$2,887,303","--","--"
"Chain Games","CHAIN","$0.1814","- -","$90,691,497","$2,910,902","--","--"
"FXT Token","FXT","$0.00187","- -","$1,870,480","$3,028,512","--","--"
"3X Short Bitcoin Token","BEAR","$0.000529","- -","$94","$3,038,421","--","--"
"DeFi of Thrones","DOTX","$0.1795","- -","$1,077,015","$3,049,408","--","--"
"UNIUP","UNIUP","$7.65","- -","- -","$3,078,464","--","--"
"ALP Coin","ALP","$0.8335","- -","$83,351,910","$3,116,079","--","--"
"Daddy Doge","DADDYDOGE","$0.00000002322","- -","$23,215,517","$3,127,220","--","--"
"CPCoin","CPC","$3.17","- -","$792,069,426","$3,144,948","--","--"
"Polkacity","POLC","$0.1525","- -","$38,128,141","$3,181,130","--","--"
"Cellframe","CELL","$0.5058","- -","$15,325,558","$3,206,698","--","--"
"Kishu Inu","KISHU","$0.00000000106","$105,970,000","$105,969,891","$3,213,569","--","100,000,000.00B KISHU"
"TRONPAD","TRONPAD","$0.0293","$5,260,166","$29,304,547","$3,204,759","--","179,500,000.00 TRONPAD"
"Pig Finance","PIG","$0.0000001036","- -","$103,642,274","$3,279,554","--","--"
"FolgoryUSD","USDF","$1.00","$45,096,710","$1,002,149,108","$1,249,761","--","45,000,000.00 USDF"
"Floki Inu","FLOKI","$0.000004893","- -","$48,933,149","$1,271,593","--","--"
"The Crypto Prophecies","TCP","$0.1546","- -","$38,644,779","$1,254,924","--","--"
"IDK","IDK","$0.06982","- -","$698,214","$1,265,098","--","--"
"FUTUREXCRYPTO","FXC","$1.78","- -","$8,899,032,194","$1,342,057","--","--"
"Lendhub","LHB","$0.06341","- -","- -","$1,344,098","--","--"
"Font","FONT","$4.61","- -","$9,216,488","$1,437,841","--","--"
"PORNROCKET","PORNROCKET","$0.000000105","$44,674,561","$104,992,293","$1,345,627","--","425,503.25B PORNROCKET"
"SwapDEX","SDX","$0.07977","- -","$26,125,571","$1,365,152","--","--"
"3X Long Dogecoin Token","DOGEBULL","$122.95","- -","$16,962","$1,366,781","--","--"
"AOS","AOS","$0.01509","- -","$1,508,588,243","$1,384,890","--","--"
"RealFevr","FEVR","$0.01108","$24,292,650","$177,318,616","$1,387,320","--","2.19B FEVR"
"Uno Re","UNO","$0.1943","- -","$73,923,934","$1,421,009","--","--"
"Firdaos","FDO","$0.6313","- -","$1,212,160","$1,417,737","--","--"
"Soda Coin","SOC","$0.01265","- -","$25,309,118","$1,422,363","--","--"
"xMARK","XMARK","$1.33","- -","$26,653,716","$1,449,998","--","--"
"Tsuki Inu","TKINU","$0.000000004434","- -","$4,434","$688,068","--","--"
"Proxy","PRXY","$17.59","- -","- -","$691,211","--","--"
"Lien","LIEN","$3.49","- -","$3,485,767","$697,762","--","--"
"Berry","BERRY","$0.002145","- -","$21,449,559","$700,760","--","--"
"Earn Defi Coin","EDC","$9.03","- -","- -","$698,587","--","--"
"Keanu Inu","KEANU","$0.00000000014","- -","$14,012,862","$707,485","--","--"
"Tianyu Finance","TYC","$0.6629","- -","$662,860,133","$721,460","--","--"
"Pando","PANDO","$0.4276","- -","$855,233,645","$724,795","--","--"
"MemePad","MEPAD","$0.0175","- -","$7,001,433","$729,373","--","--"
"Union Fair Coin","UFC","$0.1341","- -","$2,816,846","$728,526","--","--"
"xSUSHI","XSUSHI","$10.33","- -","$630,901,376","$718,774","--","--"
"EmiSwap","ESW","$0.08615","- -","$17,230,372","$713,381","--","--"
"Multiverse","AI","$0.02438","- -","$609,564,021","$737,803","--","--"
"HLP Token","HLP","$1.13","- -","$33,835,461","$729,222","--","--"
"Bilaxy Token","BIA","$0.012","- -","$24,007,828","$715,779","--","--"
"Bunicorn","BUNI","$0.2966","$3,064,844","$296,597,788","$732,688","--","10,333,333.00 BUNI"
"Zoo Token","ZOOT","$0.000000000028","$1,447,666","$2,804,829","$446,639","--","51,610,183.40B ZOOT"
"Nio tokenized stock FTX","NIO","$46.20","- -","- -","$447,951","--","--"
"Funder One Capital","FUNDX","$2,793.20","- -","$11,172,801,673,194","$449,748","--","--"
"pTokens BTC","PBTC","$38,839.23","- -","$815,623,830,662","$451,331","--","--"
"Deez Nuts","DEEZNUTS","$0.00002864","$20,662,758","$28,641,924","$451,049","--","721.42B DEEZNUTS"
"BeforeCoinMarketCap","BCMC1","$0.01427","$42,800,388","$142,667,962","$454,142","--","3.00B BCMC1"
"DinoExchange","DINO","$0.6224","- -","$124,484,662","$458,006","--","--"
"MilliMeter","MM","$0.3872","- -","$774,318,243","$460,047","--","--"
"dFund","DFND","$0.002674","- -","$2,674,150","$476,080","--","--"
"EthereumMax","EMAX","$0.00000003523","- -","$70,450,555","$464,326","--","--"
"Pallapay","PALLA","$0.07437","$2,907,736","$743,677,572","$462,303","--","39,099,420.00 PALLA"
"Relevant","REL","$1.05","- -","$29,267,843","$466,464","--","--"
"ProSwap","PROS","$1.02","- -","$10,198,384","$467,532","--","--"
"Sportemon-Go","SGO","$0.00000003585","- -","$35,846,143","$468,522","--","--"
"Vega Protocol","VEGA","$43.66","- -","$2,838,117,940","$469,118","--","--"
"LOCGame","LOCG","$0.06165","$1,849,391","$9,246,954","$472,605","--","30,000,000.00 LOCG"
"Dobermann","DOBE","$0.000000002237","- -","$2,236,510","$452,332","--","--"
"Burp","BURP","$0.1089","- -","$54,441,988","$470,176","--","--"
"BscArmy","BARMY","$0.000005421","- -","- -","$319,356","--","--"
"Blockcloud","BLOC","$0.000342","- -","$3,420,256","$318,682","--","--"
"ACENT","ACE","$0.05661","$2,796,458","$113,222,938","$324,192","--","49,397,376.00 ACE"
"Lung Protocol","L2P","$0.0003395","- -","$25,460","$320,355","--","--"
"SafeCap Token","SFC","$0.0116","- -","$1,160,491","$320,557","--","--"
"OnX Finance","ONX","$0.7386","- -","--","$7,386,450","$60,303,791","$323,076"
"EthicHub","ETHIX","$0.5258","$2,082,326","$52,576,197","$323,265","--","3,960,586.00 ETHIX"
"YMAX","YMAX","$12.87","- -","$411,972","$330,790","--","--"
"tBTC","TBTC","$40,788.36","- -","$46,336","$329,970","--","--"
"XLMDOWN","XLMDOWN","$0.0002138","- -","- -","$337,883","--","--"
"Billibilli Inc tokenized stock FTX","BILI","$81.25","- -","- -","$332,375","--","--"
"WAXE","WAXE","$169.26","- -","$626,272,325","$335,485","--","--"
"BitClout","CLOUT","$100.22","- -","$1,083,199,722","$335,619","--","--"
"Idea Chain Coin","ICH","$2.82","- -","$155,039,968","$336,000","--","--"
"DefiCliq","CLIQ","$0.02534","- -","$183,611","$333,046","--","--"
"Bezoge Earth","BEZOGE","$0.00000000017","$7,786,393","$17,019,637","$335,457","--","45,748,487.70B BEZOGE"
"ACryptoS","ACS","$19.17","$8,054,671","--","$36,202,025","$165,875,364","$229,274"
"Nabox","NABOX","$0.00001059","- -","$10,594,602","$224,178","--","--"
"Spacelens","SPACE","$0.04883","- -","$48,833,945","$232,015","--","--"
"BlackPearl Token","BPLC","$0.001209","- -","$77,397,701","$232,218","--","--"
"Carnomaly","CARR","$0.01881","- -","$9,967,078","$234,495","--","--"
"Myōbu","MYOBU","$0.000006028","- -","$6,027,574","$234,426","--","--"
"ExchangeCoin","EXCC","$0.01184","- -","$378,962","$234,708","--","--"
"Celo Euro","CEUR","$1.18","- -","$-1","$236,901","--","--"
"Charged Particles","IONX","$0.7542","- -","$754,181","$238,281","--","--"
"SaylorMoon","SMOON","$0.000000001289","- -","$1,289,126","$239,112","--","--"
"DigiDinar","DDR","$0.1459","$813,448","$17,508,987","$236,900","--","5,575,066.00 DDR"
"EscoinToken","ELG","$2.45","$86,726,146","$196,255,223","$240,530","--","35,352,392.58 ELG"
"HEdpAY","HDP.ф","$0.4866","$31,870,143","$486,567,072","$236,041","--","65,500,000.00 HDP.ф"
"BLACKHOLE PROTOCOL","BLACK","$0.04384","- -","$4,384,428","$242,329","--","--"
"TABOO TOKEN","TABOO","$0.0003063","- -","$3,003,881","$242,696","--","--"
"Evanesco Network","EVA","$0.03346","$1,338,508","$33,462,711","$161,234","--","40,000,000.00 EVA"
"Waves Ducks","EGG","$766.19","$33,640,453","$766,192,625","$165,301","--","43,906.00 EGG"
"MerchDAO","MRCH","$0.05812","- -","$581,185","$164,332","--","--"
"Jigstack","STAK","$0.008565","- -","$25,695,149","$141,943","--","--"
