name, name_abr, price_value, market_cap, fully_distributed_market_cap, volume_24h, volume_slash_market_cap, circulating_supply 
"XeniosCoin","XNC","$1.58","$120,265,765","$173,441,383","$51,201","0.0004257","76,274,958.05 XNC"
"Klever","KLV","$0.03548","$120,557,290","$354,829,086","$1,471,338","0.0122","3.40B KLV"
"Ethernity Chain","ERN","$10.73","$120,295,183","$322,015,026","$71,162,206","0.5916","11,207,102.80 ERN"
"XYO","XYO","$0.009419","$120,988,401","$131,501,716","$1,590,970","0.01315","12.84B XYO"
"Oasis Network","ROSE","$0.08145","$122,181,893","$814,545,953","$14,560,585","0.1192","1.50B ROSE"
"QuarkChain","QKC","$0.01858","$118,902,879","$185,788,463","$14,681,486","0.1235","6.40B QKC"
"CRYPTO20","C20","$3.11","$124,373,147","$126,580,074","$8,706","0.00007","39,947,242.35 C20"
"Dero","DERO","$11.51","$123,831,090","$211,708,172","$1,070,764","0.008647","10,762,419.00 DERO"
"Shyft Network","SHFT","$0.6363","$66,806,353","$1,603,507,615","$1,563,247","0.0234","104,989,841.00 SHFT"
"Verasity","VRA","$0.01557","$67,841,225","$161,274,195","$37,632,133","0.5547","4.36B VRA"
"WELL","WELL","$0.4904","$67,221,185","$1,029,796,388","$1,016,454","0.01512","137,080,000.00 WELL"
"BEPRO Network","BEPRO","$0.0101","$68,338,624","$101,018,055","$2,503,570","0.03663","6.76B BEPRO"
"Super Zero Protocol","SERO","$0.2095","$67,937,175","$135,594,892","$631,149","0.00929","324,350,902.00 SERO"
"Hegic","HEGIC","$0.1208","$68,361,782","1.48","$363,946,731","$46,192,423","$6,076,992"
"LGCY Network","LGCY","$0.005261","$66,888,898","$110,482,544","$5,166,814","0.07724","12.71B LGCY"
"Qcash","QC","$0.1545","$71,061,879","$1,544,822,790","$273,827,864","3.85","460,000,200.00 QC"
"MXC","MXC","$0.02728","$71,328,375","$72,076,996","$17,858,374","0.2504","2.61B MXC"
"Casper","CSPR","$0.06645","$72,813,051","$681,633,184","$8,787,258","0.1207","1.10B CSPR"
"Function X","FX","$0.3287","$72,861,743","$622,281,848","$533,464","0.007322","221,650,251.68 FX"
"Handshake","HNS","$0.1672","$68,101,776","$341,018,287","$429,779","0.006311","407,390,536.35 HNS"
"DerivaDAO","DDX","$2.64","$68,773,847","1.78","$263,555,214","$38,612,799","$176,599"
"Beefy.Finance","BIFI","$1,018.52","$73,333,115","$81,481,239","$3,091,378","0.04216","72,000.00 BIFI"
"Aion","AION","$0.1367","$67,558,142","$67,558,142","$7,677,630","0.1136","494,216,228.00 AION"
"Sora","XOR","$214.70","$74,159,603","$74,159,603","$2,446,618","0.03299","345,412.80 XOR"
"Lattice Token","LTX","$1.40","$40,220,125","$140,365,292","$1,587,614","0.03947","28,653,895.88 LTX"
"Atari Token","ATRI","$0.0474","$40,381,766","$368,335,047","$652,282","0.01615","851,959,940.00 ATRI"
"Veritaseum","VERI","$18.89","$40,603,968","$1,888,867,257","$311","0.00000767","2,149,646.44 VERI"
"CargoX","CXO","$0.2449","$40,867,852","$52,692,127","$92,642","0.002267","166,845,647.35 CXO"
"Safe","SAFE","$1.97","$41,143,124","$58,450,073","- -","--","20,835,499.35 SAFE"
"mStable USD","MUSD","$1.01","$41,433,337","$41,433,337","$210,767","0.005087","41,085,970.46 MUSD"
"Dogelon Mars","ELON","$0.00000008516","$41,460,441","$85,157,626","$5,982,899","0.1443","486,867.03B ELON"
"Hoge Finance","HOGE","$0.0001025","$41,677,492","$102,539,636","$2,072,263","0.04972","406.45B HOGE"
"PlatonCoin","PLTC","$0.5107","$41,491,736","$153,196,167","$94,710","0.002283","81,252,168.66 PLTC"
"Oxen","OXEN","$0.7651","$42,022,855","$42,022,855","$81,118","0.00193","54,926,113.00 OXEN"
"ChainX","PCX","$3.88","$42,490,148","$81,569,339","$802,369","0.01888","10,939,075.00 PCX"
"ShareToken","SHR","$0.01808","$41,797,939","$116,343,419","$841,472","0.02013","2.31B SHR"
"Valobit","VBIT","$0.04185","$41,983,712","$66,960,708","$64,148","0.001528","1.00B VBIT"
"My DeFi Pet","DPET","$6.11","$42,044,376","$611,269,835","$7,263,927","0.1728","6,878,202.33 DPET"
"xDai","STAKE","$7.10","$42,161,528","0.1336","$60,630,356","$315,610,311","$2,281,031"
"Rai Reflex Index","RAI","$3.01","$42,609,208","0.3172","$42,609,208","$134,332,942","$13,954,328"
"BASIC","BASIC","$0.005557","$28,182,876","$55,571,069","$651,056","0.0231","5.07B BASIC"
"Phantasma","SOUL","$0.2604","$26,500,406","$26,500,406","$550,180","0.02076","101,765,516.00 SOUL"
"GET Protocol","GET","$2.32","$26,365,707","$54,102,590","$532,757","0.02021","11,388,257.65 GET"
"Mirrored Tesla","mTSLA","$724.09","$26,754,678","- -","$48,188","0.001801","36,949.53 mTSLA"
"Mirrored Twitter","mTWTR","$69.19","$26,841,645","- -","$24,590","0.0009161","387,948.45 mTWTR"
"Gifto","GTO","$0.03501","$26,966,947","$35,011,238","$9,341,432","0.3464","770,236,879.20 GTO"
"CUTcoin","CUT","$0.1907","$27,289,171","$38,147,518","$205","0.0000075","143,071,804.45 CUT"
"Darwinia Network","RING","$0.06074","$27,430,872","$607,411,253","$28,223,433","1.03","451,602,953.87 RING"
"Switcheo","SWTH","$0.01802","$27,561,533","$28,746,840","$188,512","0.00684","1.53B SWTH"
